"Laboratory Name","Lab Id","User Name",Mobile,Email,State,District,Disciplines,"Certificate No","Date of Issue","Date of Expiry",Address,"Pin Code"
"AB DIAGNOSTICS",M(EL)T-00029,NABLBCL000999,9629714370,abdiagnostics2017@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-00023,"2020-11-14 05:30:00","23-11-14 05:30:00","329/1, Valarmathi Street, Madurai, Tamil Nadu 625016, India",625016
"LifeLine Laboratory",M(EL)T-00032,NABLBCL001012,9443230234,lifelinekri@Gmail.com,"Tamil Nadu",KRISHNAGIRI,"Clinical Biochemistry",NABL-M(EL)T-00025,"2020-11-14 05:30:00","23-11-14 05:30:00","59/4, GPS Complex, West Link Road, Co-operative Colony, Krishnagiri, Tamil Nadu 635001, India",635001
"Dr Bothras Diagnostic and Imaging Center",M(EL)T-00034,NABLBCL001007,8432227000,drgulabbothra@gmail.com,Rajasthan,BIKANER,"Clinical Biochemistry",NABL-M(EL)T-00027,"2020-11-14 05:30:00","23-11-14 05:30:00","B 3,4, Pawa Puri, Bikaner, Rajasthan 334001, India",334001
"Raghav Pathlabs and Imaging",M(EL)T-00036,NABLBCL001020,9766439818,raghavpathlabs@gmail.com,Uttarakhand,NAINITAL,"Clinical Biochemistry",NABL-M(EL)T-00028,"2020-11-14 05:30:00","23-11-14 05:30:00","Kapil Complex, Mukhani Chauraha, Haldwani, Nainital, Uttarakhand 263139, India",263139
"Shiv Diagnostics & Maternity Centre",M(EL)T-00015,NABLBCL000956,7533993479,shivdiagnostics@gmail.com,Uttarakhand,"UDAM SINGH NAGAR","Clinical Biochemistry",NABL-M(EL)T-00029,"2020-12-10 05:30:00","23-12-10 05:30:00","Court Road, Kashipur, Udam Singh Nagar, Uttarakhand 244713, India",244713
"ICTC, District Hospital",M(EL)T-00039,NABLBCL001013,9495971565,ictc.aluva@gmail.com,Kerala,ERNAKULAM,"Medical Microbiology And Immunology",NABL-M(EL)T-00030,"2020-12-10 05:30:00","23-12-10 05:30:00","District Hospital, Aluva, Ernakulam, Kerala 683101, India",683101
"Srinivasa X-Ray & Clinical Laboratory",M(EL)T-00051,NABLBCL001052,9443390468,SRINIVASAXRAYLAB@GMAIL.COM,"Tamil Nadu",TUTICORIN,"Clinical Biochemistry",NABL-M(EL)T-00031,"2020-12-10 05:30:00","23-12-10 05:30:00","83, A.K.S. Theatre Road, Kovilpatti, Tuticorin, Tamil Nadu 628502, India",628502
"ICTC, General Hospital",M(EL)T-00040,NABLBCL001032,7012857007,lacghekm@gmail.com,Kerala,ERNAKULAM,"Medical Microbiology And Immunology",NABL-M(EL)T-00032,"2020-12-10 05:30:00","23-12-10 05:30:00","Integrated Counseling and Testing Centre, General Hospital, Ernakulam, Kerala 682011, India",682011
"National X-ray's ECG and Clinical Laboratory",M(EL)T-00047,NABLBCL001051,9384610535,drdoramicrolab@gmail.com,"Tamil Nadu",KRISHNAGIRI,"Clinical Biochemistry",NABL-M(EL)T-00033,"2020-12-22 05:30:00","23-12-22 05:30:00","117 A, Salem Main Road, Krishnagiri, Tamil Nadu 635001, India",635001
"Nidan Speciality Diagnostics",M(EL)T-00056,NABLBCL001060,9422179053,nidanlaboratoryaurangabad@gmail.com,Maharashtra,AURANGABAD,Haematology,NABL-M(EL)T-00034,"2020-12-22 05:30:00","23-12-22 05:30:00","Chintamani H. No. 2-16/761, Jubali Park Signal, Bhadkal Gate, Aurangabad, Maharashtra 431001, India",431001
"Chinmayi Hospital",M(EL)T-00041,NABLBCL001039,9743795025,chinmayihospital@outlook.com,Karnataka,UDUPI,"Clinical Biochemistry",NABL-M(EL)T-00035,"2020-12-22 05:30:00","23-12-22 05:30:00","Church Road, Kundapur, Udupi, Karnataka 576201, India",576201
"A J Laboratory Services",M(EL)T-00046,NABLBCL001031,8494890444,lab@ajhospital.in,Karnataka,"DAKSHIN KANNAD","Clinical Biochemistry",NABL-M(EL)T-00036,"2020-12-22 05:30:00","23-12-22 05:30:00","Kuntikana, Mangaluru, Dakshina Kannada, Karnataka 575004, India",575004
"Fostr Healthcare",M(EL)T-00057,NABLBCL001069,9611218205,lab@fostrhealthcare.com,Karnataka,"BENGALURU URBAN","Clinical Biochemistry",NABL-M(EL)T-00037,"2020-12-23 05:30:00","23-12-23 05:30:00","12, 2nd Floor, Panathur Main Road, Panathur, Bengaluru Urban, Karnataka 560087, India",560087
"Morris Mathias Hospital",M(EL)T-00003,NABLBCL000906,9442506174,morrismathiashospital@gmail.com,"Tamil Nadu",KANNIYAKUMARI,"Medical Microbiology And Immunology",NABL-M(EL)T-00038,"2021-01-01 05:30:00","24-01-01 05:30:00","355, K. P. Road, Dr. Mathias Nagar, Kanniyakumari, Tamil Nadu 629001, India",629001
"Medline Labs",M(EL)T-00030,NABLBCL000968,9976023999,medlinelabsnkl1@gmail.com,"Tamil Nadu",NAMAKKAL,"Clinical Biochemistry",NABL-M(EL)T-00039,"2021-01-01 05:30:00","24-01-01 05:30:00","75, S P Pudur, Paramathi Road, Namakkal, Tamil Nadu 637001, India",637001
"ICTC, District Hospital",M(EL)T-00066,NABLBCL001016,9633471345,ictcthqhnedumangad@gmail.com,Kerala,THIRUVANANTHAPURAM,"Medical Microbiology And Immunology",NABL-M(EL)T-00040,"2021-01-06 05:30:00","24-01-06 05:30:00","Nedumangad, Thiruvananthapuram, Kerala 695541, India",695541
"ICTC (Jyothis), Taluk Head Quarters Hospital",M(EL)T-00070,NABLBCL001033,9747163481,ictcthqhharipad@gmail.com,Kerala,ALAPPUZHA,"Medical Microbiology And Immunology",NABL-M(EL)T-00041,"2021-01-06 05:30:00","24-01-06 05:30:00","Haripad, Alappuzha, Kerala 690514, India",690514
"Idhayam Diagnostic Service",M(EL)T-00053,NABLBCL001049,9841730846,danidhayam@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-00042,"2021-01-06 05:30:00","24-01-06 05:30:00","No. 26, Dr. R. P. Road, K. K. Nagar, Hasthinapuram, Chrompet, Kanchipuram, Tamil Nadu 600044, India",600044
"Sri Baba Diagnostic Centre",M(EL)T-00049,NABLBCL001053,9585318761,sribabacentre@gmail.com,"Tamil Nadu",KANCHIPURAM,"Clinical Biochemistry",NABL-M(EL)T-00043,"2021-01-06 05:30:00","24-01-06 05:30:00","6, Vellai Chetty Street, Uthiramerur, Kanchipuram, Tamil Nadu 603406, India",603406
"Sankalp Laboratory",M(EL)T-00067,NABLBCL001077,9909062122,mnkanara@yahoo.in,Gujarat,"DEVBHUMI DWARKA","Clinical Biochemistry",NABL-M(EL)T-00044,"2021-01-06 05:30:00","24-01-06 05:30:00","Station Road, Jam-Khambhaliya, Devbhumi Dwarka, Gujarat 361305, India",361305
"Race Diagnostics",M(EL)T-00065,NABLBCL001072,9787725571,racecrl@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-00045,"2021-01-06 05:30:00","24-01-06 05:30:00","232/190, South Marret Street, Sappani Koil Stop, Madurai, Tamil Nadu 625001, India",625001
"ICTC, Taluk Hospital",M(EL)T-00063,NABLBCL001070,9645029002,ictcthamarasery@gmail.com,Kerala,KOZHIKODE,"Medical Microbiology And Immunology",NABL-M(EL)T-00046,"2021-01-06 05:30:00","24-01-06 05:30:00","Thamarassery, Kozhikode, Kerala 673573, India",673573
"Jothi X-Ray, E.C.G. & Laboratory",M(EL)T-00058,NABLBCL001067,9842111104,jothilabstuty@gmail.com,"Tamil Nadu",TUTICORIN,"Clinical Biochemistry",NABL-M(EL)T-00047,"2021-01-06 05:30:00","24-01-06 05:30:00","1, Sivan Koil Street, Tuticorin, Tamil Nadu 628002, India","628 002"
"Pranaam Hospitals Pvt Ltd",M(EL)T-00050,NABLBCL001022,7095128844,quality@pranaamhospitals.in,Telangana,HYDERABAD,"Clinical Biochemistry",NABL-M(EL)T-00048,"2021-01-08 05:30:00","24-01-08 05:30:00","1-58/6/40&41, Madinaguda, Miyapur, Hyderabad, Telangana 500050, India",500050
"Sri Annai Clinical Lab",M(EL)T-00073,NABLBCL001090,9443961888,sriannailab@gmail.com,"Tamil Nadu",VIRUDHUNAGAR,"Clinical Biochemistry",NABL-M(EL)T-00049,"2021-01-13 05:30:00","24-01-13 05:30:00","No. 11, Pattabi Ramar Kovil Street, Aruppukottai, Virudhunagar, Tamil Nadu 626101, India","626 101"
"ICTC, THQH",M(EL)T-00075,NABLBCL001080,9544905760,ictcthqtvla@yahoo.com,Kerala,PATHANAMTHITTA,"Medical Microbiology And Immunology",NABL-M(EL)T-00050,"2021-01-13 05:30:00","24-01-13 05:30:00","Thiruvalla, Pathanamthitta, Kerala 689101, India",689101
"Kalpana Microbiology Lab",M(EL)T-00069,NABLBCL001078,9443233110,kalpanamicrolab@gmail.com,"Tamil Nadu",NAMAKKAL,"Clinical Biochemistry",NABL-M(EL)T-00051,"2021-01-13 05:30:00","24-01-13 05:30:00","No. 40/25, Pookadai Corner, South Car Street, Thirucengode, Namakkal, Tamil Nadu 637211, India",637211
"Rainbow Diagnostics (Unit of Viraj Diagnostics Pvt. Ltd.)",M(EL)T-00068,NABLBCL001068,9810990496,kvijayrainbow1@gmail.com,"Uttar Pradesh",GHAZIABAD,"Clinical Biochemistry",NABL-M(EL)T-00052,"2021-01-13 05:30:00","24-01-13 05:30:00","SC-45, C Block, Shalimar Garden Ext-2, Sahibabad, Ghaziabad, Uttar Pradesh 201005, India",201005
"ICTC, THQH",M(EL)T-00062,NABLBCL001045,9544332600,ictcthqhkoyilandy@gmail.com,Kerala,KOZHIKODE,"Medical Microbiology And Immunology",NABL-M(EL)T-00053,"2021-01-13 05:30:00","24-01-13 05:30:00","Koyilandy, Kozhikode, Kerala 673305, India",673305
"Sundar Lab",M(EL)T-00017,NABLBCL000961,9443610076,j.sundarlab@gmail.com,"Tamil Nadu",RAMANATHAPURAM,"Clinical Biochemistry",NABL-M(EL)T-00054,"2021-01-13 05:30:00","24-01-13 05:30:00","1/1101, Thawlath Nisha Complex, Bharathi Nagar, Ramanathapuram, Tamil Nadu 623503, India",623503
"ICTC, Taluk Hospital",M(EL)T-00080,NABLBCL001030,9447267365,ictcpiravomekm@gmail.com,Kerala,ERNAKULAM,"Medical Microbiology And Immunology",NABL-M(EL)T-00055,"2021-01-19 05:30:00","24-01-19 05:30:00","Jyothis Lab, Taluk Hospital, Piravom, Ernakulam, Kerala 686664, India",686664
"Dharshini Clinical Lab & E.C.G.",M(EL)T-00061,NABLBCL001040,9677765155,dharshinilab@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-00056,"2021-01-19 05:30:00","24-01-19 05:30:00","Shop No. 16, CSI Shopping Complex, Moondrumavadi, K. Pudur, Madurai, Tamil Nadu 625007, India",625007
"ICTC, DH",M(EL)T-00078,NABLBCL001091,9495809331,ictc.dhkozhenchery@gmail.com,Kerala,PATHANAMTHITTA,"Medical Microbiology And Immunology",NABL-M(EL)T-00057,"2021-01-19 05:30:00","24-01-19 05:30:00","District Hospital, Kozhencherry, Pathanamthitta, Kerala 689641, India",689641
"Dharmagiri St Josephs Hospital",M(EL)T-00038,NABLBCL001025,9447674229,st.jhospitalmkm@gmail.com,Kerala,KOZHIKODE,"Clinical Biochemistry",NABL-M(EL)T-00058,"2021-01-20 05:30:00","24-01-20 05:30:00","Agustianmuzhi, Mukkam, Kozhikode, Kerala 673602, India",673602
"Sri Sellam Clinical Lab",M(EL)T-00020,NABLBCL000967,9442334265,srisellamlab@gmail.com,"Tamil Nadu",NAMAKKAL,"Clinical Biochemistry",NABL-M(EL)T-00059,"2021-01-25 05:30:00","24-01-25 05:30:00","113/4, Sulthanpet, Panchamuga Vinayagar Kovil, Paramathi Velur, Namakkal, Tamil Nadu 638182, India",638182
"Dr. Satav's Pathology Laboratory",M(EL)T-00042,NABLBCL001027,9892032627,dr.mg512@gmail.com,Maharashtra,PUNE,"Clinical Biochemistry",NABL-M(EL)T-00060,"2021-01-25 05:30:00","24-01-25 05:30:00","Chinchwad, Pune, Maharashtra 411033, India",411033
"Sri Vinayaga Micro Lab",M(EL)T-00054,NABLBCL001061,9865639890,apalagar@gmail.com,"Tamil Nadu",DINDIGUL,"Clinical Biochemistry",NABL-M(EL)T-00061,"2021-01-29 05:30:00","24-01-29 05:30:00","No. 320, New Dharapuram Road, Palani, Dindigul, Tamil Nadu 624601, India",624601
"ICTC, GH",M(EL)T-00079,NABLBCL001075,9446756503,ictcpala@gmail.com,Kerala,KOTTAYAM,"Medical Microbiology And Immunology",NABL-M(EL)T-00062,"2021-01-29 05:30:00","24-01-29 05:30:00","General Hospital, Pala, Kottayam, Kerala 686575, India",686575
"ICTC, DH",M(EL)T-00083,NABLBCL001116,8281610952,ictcnilambur@gmail.com,Kerala,MALAPPURAM,"Medical Microbiology And Immunology",NABL-M(EL)T-00063,"2021-01-29 05:30:00","24-01-29 05:30:00","District Hospital, Nilambur, Malappuram, Kerala 679329, India",679329
"Grace Laboratory",M(EL)T-00077,NABLBCL001093,9725085891,gracelaboratory123@gmail.com,Gujarat,VADODARA,"Clinical Biochemistry",NABL-M(EL)T-00064,"2021-02-02 05:30:00","24-02-02 05:30:00","FF8, Silver Coin Complex, Makarpura, Vadodara, Gujarat 390014, India",390014
"Arul Jothi X-Rays & Lab",M(EL)T-00045,NABLBCL001048,9600285653,aruljothixrays@gmail.com,"Tamil Nadu",NAMAKKAL,"Clinical Biochemistry",NABL-M(EL)T-00065,"2021-02-10 05:30:00","24-02-10 05:30:00","26, Pookadai Street, Rasipuram, Namakkal, Tamil Nadu 637408, India",637408
"Quality Care Diagnostic Centre",M(EL)T-00076,NABLBCL001089,9842565998,qualitycarelab@gmail.com,"Tamil Nadu",THENI,"Clinical Biochemistry",NABL-M(EL)T-00066,"2021-02-10 05:30:00","24-02-10 05:30:00","165, Kallar Society Building, Madurai Road, Theni, Tamil Nadu 625531, India",625531
"HIV Testing Laboratory",M(EL)T-00081,NABLBCL001105,9651207136,ltp.dwh@gmail.com,"Uttar Pradesh",LALITPUR,"Medical Microbiology And Immunology",NABL-M(EL)T-00067,"2021-02-10 05:30:00","24-02-10 05:30:00","PPTCT, District Women Hospital, Lalitpur, Uttar Pradesh 284403, India",284403
"ICTC, GTSH",M(EL)T-00084,NABLBCL001110,8281610952,ictcgtsh2010@gmail.com,Kerala,PALAKKAD,"Medical Microbiology And Immunology",NABL-M(EL)T-00068,"2021-02-10 05:30:00","24-02-10 05:30:00","Government Tribal Specialty Hospital, Kottathara, Palakkad, Kerala 678581, India",678581
"ICTC, W&C Hospital",M(EL)T-00089,NABLBCL001111,8547413525,ictcwchalpy@gmail.com,Kerala,ALAPPUZHA,"Medical Microbiology And Immunology",NABL-M(EL)T-00069,"2021-02-10 05:30:00","24-02-10 05:30:00","Women and Childrens Hospital, Beach Ward, Bazar PO, Alappuzha, Kerala 688012, India",688012
"Care Diagnostics",M(EL)T-00085,NABLBCL001115,9972828018,care2lab@gmail.com,Karnataka,"BENGALURU URBAN","Clinical Biochemistry",NABL-M(EL)T-00070,"2021-02-15 05:30:00","24-02-15 05:30:00","3rd Cross, Neeladri Nagar, Electronic City Phase-1, Bengaluru Urban, Karnataka 560100, India",560100
"Omsai Pathology Laboratory",M(EL)T-00088,NABLBCL001130,9545083197,omsaipathologylatur@gmail.com,Maharashtra,LATUR,"Clinical Biochemistry",NABL-M(EL)T-00071,"2021-02-24 05:30:00","24-02-24 05:30:00","Central Bus Stand, Infront of Gate No. 1, Latur, Maharashtra 413512, India",413512
"Vignesh Diagnostic Centre",M(EL)T-00098,NABLBCL001144,8939923788,vignesh5556@gmail.com,"Tamil Nadu",THIRUVALLUR,"Clinical Biochemistry",NABL-M(EL)T-00072,"2021-02-24 05:30:00","24-02-24 05:30:00","79, Redhills Road, Pudur, Ambattur, Chennai, Thiruvallur, Tamil Nadu 600053, India",600053
"Marson Clinical Laboratory",M(EL)T-00093,NABLBCL000983,9360572464,michaelpra2006@gmail.com,"Tamil Nadu",TUTICORIN,"Clinical Biochemistry",NABL-M(EL)T-00073,"2021-03-01 05:30:00","24-03-01 05:30:00","25 B, Muslim Street, Eral, Tuticorin, Tamil Nadu 628801, India",628801
"Mayom Hospital",M(EL)T-00059,NABLBCL001035,8860079524,lab@mayomhospital.com,Haryana,Gurugram,"Clinical Biochemistry",NABL-M(EL)T-00074,"2021-03-01 16:02:08","24-03-01 16:02:08","D-Block, South City-1, Gurugram, Haryana 122007, India",122007
"Alaknanda Diagnostic Lab ",M(EL)T-00064,NABLBCL001065,9811046497,alaknandadiagnosticlab@gmail.com,Delhi,"South East","Clinical Biochemistry",NABL-M(EL)T-00075,"2021-03-01 16:02:23","24-03-01 16:02:23","H 1, Vikrmaditya Tower-Basement, Alaknanda Shopping Complex, Alaknanda, South East, Delhi 110019, India",110019
"Ivy Hospital",M(EL)T-00052,NABLBCL001042,9915317878,pathlab.hspr@ivyhospital.com,Punjab,HOSHIARPUR,"Clinical Biochemistry",NABL-M(EL)T-00076,"2021-03-10 05:30:00","24-03-10 05:30:00","Ivy Hospital, Hoshiarpur, Punjab 146001, India",146001
"Sree Metro Diagnostic Centre",M(EL)T-00094,NABLBCL001097,9003913955,sreemetrolab@gmail.com,"Tamil Nadu",CHENNAI,"Clinical Biochemistry",NABL-M(EL)T-00077,"2021-03-10 05:30:00","24-03-10 05:30:00","16/41, Krishna Road, New Perungalathur, Chennai, Tamil Nadu 600063, India",600063
"Dia Care Diagnostics",M(EL)T-00082,NABLBCL001114,9566631351,sddiacare77@gmail.com,"Tamil Nadu",KRISHNAGIRI,"Clinical Biochemistry",NABL-M(EL)T-00078,"2021-03-10 05:30:00","24-03-10 05:30:00","2/751, Veppanapalli, Krishnagiri, Tamil Nadu 635121, India",635121
"Sure Diagnostics Specialized Laboratory",M(EL)T-00090,NABLBCL001122,9419211194,sumedhamengi5@gmail.com,"Jammu and Kashmir",JAMMU,"Clinical Biochemistry",NABL-M(EL)T-00079,"2021-03-10 05:30:00","24-03-10 05:30:00","Rail Head Complex, Bahu Plaza, Jammu, Jammu and Kashmir 180012, India",180012
"Laboratory Medicine, Bansal Hospital, A Unit of Ayushman Medical Diagnostics Private Limited",M(EL)T-00097,NABLBCL001145,8668944794,dr.sourabhchakraborty@gmail.com,"Madhya Pradesh",BHOPAL,"Clinical Biochemistry",NABL-M(EL)T-00080,"2021-03-10 05:30:00","24-03-10 05:30:00","C Sector, Shahpura, Bhopal, Madhya Pradesh 462016, India",462016
"VSV Clinical Laboratory",M(EL)T-00100,NABLBCL001143,9842596727,vsvlab@gmail.com,"Tamil Nadu",MADURAI,"Clinical Biochemistry",NABL-M(EL)T-00081,"2021-03-11 05:30:00","24-03-11 05:30:00","44, Ponmeni Narayanan Street, S. S. Colony, Madurai, Tamil Nadu 625016, India",625016
